#Protein	         CTR	         STS	        METF	    STSMETF
Q8BUV3  	   -0.812589	   -0.823461	    0.284752	     1.3513
E9PXY1  	    0.438932	   -0.743857	   -0.823977	     1.1289
A2A4A1  	      0.9919	     0.71555	   -0.652774	   -1.05468
A2A4A6  	    0.496949	    0.418081	   -0.285736	  -0.629293
A2A4P0  	   -0.329365	   -0.997591	     0.57865	   0.748306
A2A4Z1  	     1.31961	    0.126575	   -0.168202	   -1.27799
A2A520  	   -0.940988	   -0.706777	     0.62746	    1.02031
A2A547  	    0.832842	   -0.431983	    0.143339	  -0.544198
A2A5R8  	     1.20202	   -0.470894	   -0.775084	  0.0439603
A2A5V4  	   -0.357964	   -0.983437	    0.352711	   0.988689
E9Q6A7  	    0.451293	     1.11843	   -0.259231	   -1.31049
A2A6A1  	   -0.623963	    -1.11452	    0.893098	   0.845381
A2A6Q5  	     0.79317	    0.598456	    0.153258	   -1.54488
A2A6T1  	    0.439029	   -0.753133	    0.835165	  -0.521061
A2A791  	    -0.42659	    -0.96785	    0.161391	    1.23305
E9Q532  	    0.150839	   -0.851883	     1.21004	  -0.508997
Q91WQ3  	   -0.764764	    -1.10667	    0.872417	   0.999014
P48193  	    0.751231	     1.00235	    -1.06132	  -0.692254
A2A8U2-2	     1.25719	   -0.427386	   -0.664411	  -0.165395
A2A8V8  	   -0.861232	   -0.484703	    0.336373	    1.00956
A8Y5H7  	     1.09068	    0.683375	    -1.22033	   -0.55372
A2A9I0  	    0.111294	    0.447172	    0.577908	   -1.13637
E9PX48  	   -0.846382	   -0.926679	      0.7897	   0.983362
A2A9P2  	     0.27625	     0.98812	     -0.6525	   -0.61187
A2A9P6  	    0.679622	    -1.12719	    0.258598	   0.188967
Q8BHG1  	    0.392279	    0.933462	    -1.07295	  -0.252792
A2A9W3  	   -0.950125	     1.00593	    0.613463	  -0.669272
Q6NXN1-2	   0.0628852	  -0.0855386	    0.186677	  -0.164024
A2AAY5  	    0.600044	    0.960165	   -0.199447	   -1.36076
A2ABY3  	    -0.27411	     1.16142	  -0.0468932	  -0.840412
Q8BQZ4  	    0.143459	    0.394948	    0.927481	   -1.46589
A2ACG7  	    -1.00182	    0.288309	   -0.161345	   0.874856
Q8K4Q0  	     -1.0388	   -0.470484	    0.650703	   0.858578
Q8K1G9  	   0.0194172	   -0.383124	   -0.332588	   0.696295
E1U8D0  	     1.21079	   -0.119873	    -1.21015	    0.11923
Q3UR39  	   -0.621684	   -0.592649	      0.4386	   0.775733
Q9CQY5-2	    0.946805	       0.284	    0.170048	   -1.40085
A2ADR8  	   -0.845716	   -0.753745	    0.862099	   0.737363
A2ADY9  	    0.473213	   -0.656521	   -0.566367	   0.749676
Q9DBT5  	  -0.0697359	    -1.28872	    0.633995	   0.724464
A2AEE4  	    0.837923	    -1.25466	    0.304205	   0.112537
Q99LI2  	    0.746437	   0.0507449	    0.274573	   -1.07176
